Abbeville city, Alabama,2688,2705,2699,2694,2643,2628,2608,2600,2584,2575,2571,2560
Flippin city, Arkansas,1355,1351,1352,1349,1343,1327,1341,1323,1326,1323,1331,1322
Fresno city, California,494665,497172,497769,501429,505414,508880,514100,518203,521426,525373,528814,531576
Greeley city, Colorado,92889,92950,93308,94466,95597,96848,99055,101763,104751,106780,107475,108649
Horseshoe Beach town, Florida,169,169,169,169,165,165,165,166,166,166,167,168
Byron city, Georgia,4512,4532,4577,4650,4735,4800,4967,5127,5105,5097,5164,5226
Bannockburn village, Illinois,1583,1490,1491,1512,1547,1487,1508,1533,1510,1512,1511,1506
Mentone town, Indiana,1001,997,996,992,991,989,987,983,979,977,975,968
Macedonia city, Iowa,246,246,246,246,242,241,242,242,242,243,244,243
Science Hill city, Kentucky,693,693,694,696,694,697,695,693,692,693,695,696
